,summary,config,name
41,"{'_runtime': 657.3770353794098, '_timestamp': 1698949980.4656024, 'bleu': 0.0020298453314221503, '_step': 0, '_wandb': {'runtime': 656}}","{'percentage': 0.9, 'pruningType': 'class-uniform'}",skilled-sea-26
42,"{'_step': 0, '_wandb': {'runtime': 657}, '_runtime': 657.9167256355286, '_timestamp': 1698949312.4777796, 'bleu': 8.938970201746278e-05}","{'percentage': 0.9, 'pruningType': 'class-blind'}",noble-morning-25
43,"{'_wandb': {'runtime': 526}, '_runtime': 527.3231449127197, '_timestamp': 1698948644.0321548, 'bleu': 0.00789193767097017, '_step': 0}","{'percentage': 0.8, 'pruningType': 'class-uniform'}",atomic-violet-24
44,"{'_step': 0, '_wandb': {'runtime': 300}, '_runtime': 301.49388217926025, '_timestamp': 1698948107.0609922, 'bleu': 0.02003113017107615}","{'percentage': 0.8, 'pruningType': 'class-blind'}",young-firebrand-23
45,"{'_timestamp': 1698947796.395151, 'bleu': 0.09826420948796036, '_step': 0, '_wandb': {'runtime': 213}, '_runtime': 214.04425287246704}","{'percentage': 0.7, 'pruningType': 'class-uniform'}",gallant-fire-22
46,"{'_runtime': 209.75663828849792, '_timestamp': 1698947573.6700814, 'bleu': 0.11124294979842256, '_step': 0, '_wandb': {'runtime': 209}}","{'percentage': 0.7, 'pruningType': 'class-blind'}",lemon-yogurt-21
47,"{'bleu': 0.18533441900954464, '_step': 0, '_wandb': {'runtime': 181}, '_runtime': 181.9026095867157, '_timestamp': 1698947354.5655656}","{'percentage': 0.6, 'pruningType': 'class-uniform'}",bright-cosmos-20
48,"{'bleu': 0.20242019234340833, '_step': 0, '_wandb': {'runtime': 179}, '_runtime': 180.2640573978424, '_timestamp': 1698947165.3283904}","{'percentage': 0.6, 'pruningType': 'class-blind'}",golden-blaze-19
49,"{'bleu': 0.2385148820005845, '_step': 0, '_wandb': {'runtime': 175}, '_runtime': 176.33584904670715, '_timestamp': 1698946976.377307}","{'percentage': 0.5, 'pruningType': 'class-uniform'}",hopeful-aardvark-18
50,"{'bleu': 0.24538306633093815, '_step': 0, '_wandb': {'runtime': 174}, '_runtime': 175.5459475517273, '_timestamp': 1698946790.5959785}","{'percentage': 0.5, 'pruningType': 'class-blind'}",apricot-cloud-17
51,"{'bleu': 0.26404511650645635, '_step': 0, '_wandb': {'runtime': 172}, '_runtime': 172.6390528678894, '_timestamp': 1698946605.289939}","{'percentage': 0.4, 'pruningType': 'class-uniform'}",rose-spaceship-16
52,"{'bleu': 0.26903420646950277, '_step': 0, '_wandb': {'runtime': 172}, '_runtime': 173.05834364891052, '_timestamp': 1698946423.9341006}","{'percentage': 0.4, 'pruningType': 'class-blind'}",swift-eon-15
53,"{'_timestamp': 1698946243.2750602, 'bleu': 0.2779726866900786, '_step': 0, '_wandb': {'runtime': 170}, '_runtime': 170.9590880870819}","{'percentage': 0.3, 'pruningType': 'class-uniform'}",vital-pine-14
54,"{'_wandb': {'runtime': 169}, '_runtime': 170.23922967910767, '_timestamp': 1698946062.5360117, 'bleu': 0.2787533814696365, '_step': 0}","{'percentage': 0.3, 'pruningType': 'class-blind'}",upbeat-frost-13
55,"{'_wandb': {'runtime': 169}, '_runtime': 170.09506964683533, '_timestamp': 1698945882.6069703, 'bleu': 0.2823610030995167, '_step': 0}","{'percentage': 0.2, 'pruningType': 'class-uniform'}",winter-violet-12
56,"{'bleu': 0.28224545985576316, '_step': 0, '_wandb': {'runtime': 170}, '_runtime': 171.09937715530396, '_timestamp': 1698945704.4077785}","{'percentage': 0.2, 'pruningType': 'class-blind'}",scarlet-wood-11
57,"{'bleu': 0.28309628139288956, '_step': 0, '_wandb': {'runtime': 168}, '_runtime': 169.5956060886383, '_timestamp': 1698945524.5420332}","{'percentage': 0.1, 'pruningType': 'class-uniform'}",eternal-butterfly-10
58,"{'_step': 0, '_wandb': {'runtime': 173}, '_runtime': 174.09052681922913, '_timestamp': 1698945347.872377, 'bleu': 0.2827584910389831}","{'percentage': 0.1, 'pruningType': 'class-blind'}",crimson-energy-9
